Accession,Assembly,Family,Genus,Species,Used To
>NC_003092.2 ,GCF_000848625.1,Arteriviridae,Deltaarterivirus,Deltaarterivirus hemfev,"Training Set, Read-level Validation Set"
>NC_003436.1 ,GCF_000848685.1,Coronaviridae,Alphacoronavirus,Porcine epidemic diarrhea virus,"Training Set, Read-level Validation Set"
>NC_001639.1 ,GCF_000850185.1,Arteriviridae,Gammaarterivirus,Gammaarterivirus lacdeh,"Training Set, Read-level Validation Set"
>NC_002645.1 ,GCF_000853505.1,Coronaviridae,Alphacoronavirus,Human coronavirus 229E,"Training Set, Read-level Validation Set"
>NC_005831.2 ,GCF_000853865.1,Coronaviridae,Alphacoronavirus,Human coronavirus NL63,"Training Set, Read-level Validation Set"
>NC_002306.3 ,GCF_000856025.1,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,"Training Set, Read-level Validation Set"
>NC_006577.2 ,GCF_000858765.1,Coronaviridae,Betacoronavirus,Human coronavirus HKU1,"Training Set, Read-level Validation Set"
>NC_002532.2 ,GCF_000860865.1,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid,"Training Set, Read-level Validation Set"
>NC_001846.1 ,GCF_000862345.1,Coronaviridae,Betacoronavirus,Murine coronavirus,"Training Set, Read-level Validation Set"
>NC_003045.1 ,GCF_000862505.1,Coronaviridae,Betacoronavirus,Betacoronavirus 1,"Training Set, Read-level Validation Set"
>NC_001961.1 ,GCF_000862745.1,Arteriviridae,Betaarterivirus,Betaarterivirus suid 2,"Training Set, Read-level Validation Set"
>NC_001451.1 ,GCF_000862965.1,Coronaviridae,Gammacoronavirus,Avian coronavirus,"Training Set, Read-level Validation Set"
>NC_004718.3 ,GCF_000864885.1,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus,"Training Set, Read-level Validation Set"
>NC_007447.1 ,GCF_000865145.1,Tobaniviridae,Torovirus,Bovine torovirus,"Training Set, Read-level Validation Set"
>NC_008516.1 ,GCF_000867725.1,Tobaniviridae,Bafinivirus,White bream virus,"Training Set, Read-level Validation Set"
>NC_009021.1 ,GCF_000868045.1,Coronaviridae,Betacoronavirus,Rousettus bat coronavirus HKU9,"Training Set, Read-level Validation Set"
>NC_016992.1 ,GCF_000868165.1,Coronaviridae,Deltacoronavirus,Sparrow coronavirus HKU17,"Training Set, Read-level Validation Set"
>NC_009019.1 ,GCF_000870505.1,Coronaviridae,Betacoronavirus,Tylonycteris bat coronavirus HKU4,"Training Set, Read-level Validation Set"
>NC_009657.1 ,GCF_000870985.1,Coronaviridae,Alphacoronavirus,Alphacoronavirus scotophili,"Training Set, Read-level Validation Set"
>NC_010306.1 ,GCF_000872605.1,Roniviridae,Okavirus,Okavirus branchiae,"Training Set, Read-level Validation Set"
>NC_010646.1 ,GCF_000872845.1,Coronaviridae,Gammacoronavirus,Beluga whale coronavirus SW1,"Training Set, Read-level Validation Set"
>NC_009020.1 ,GCF_000873025.1,Coronaviridae,Betacoronavirus,Pipistrellus bat coronavirus HKU5,"Training Set, Read-level Validation Set"
>NC_009988.1 ,GCF_000875645.1,Coronaviridae,Alphacoronavirus,Rhinolophus bat coronavirus HKU2,"Training Set, Read-level Validation Set"
>NC_010437.1 ,GCF_000879255.1,Coronaviridae,Alphacoronavirus,Miniopterus bat coronavirus 1,"Training Set, Read-level Validation Set"
>NC_010438.1 ,GCF_000879875.1,Coronaviridae,Alphacoronavirus,Miniopterus bat coronavirus HKU8,"Training Set, Read-level Validation Set"
>NC_010800.1 ,GCF_000880055.1,Coronaviridae,Gammacoronavirus,Avian coronavirus,"Training Set, Read-level Validation Set"
>NC_011550.1 ,GCF_000880835.1,Coronaviridae,Deltacoronavirus,Munia coronavirus HKU13,"Training Set, Read-level Validation Set"
